name,rating,categories,address,zip_code,doordash_url,google_maps_url,embedding_text
Silver Cloud Hotel - University District,4.3,Lodging,"5036 25th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Silver+Cloud+Hotel+-+University+District+98105,https://www.google.com/maps/place/?q=place_id:ChIJdS0Vx4cUkFQRv-UDFEvfpKY,"Silver Cloud Hotel - University District. Category: Lodging. Located at 5036 25th Avenue Northeast, Seattle. Rated 4.3 stars."
Portage Bay Cafe,4.3,Cafe,"4130 Roosevelt Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Portage+Bay+Cafe+98105,https://www.google.com/maps/place/?q=place_id:ChIJzZzBbfQUkFQRP0f0nUznInY,"Portage Bay Cafe. Category: Cafe. Located at 4130 Roosevelt Way Northeast, Seattle. Rated 4.3 stars."
Dick's Drive-In,4.6,Restaurant,"111 Northeast 45th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Dick%27s+Drive-In+98105,https://www.google.com/maps/place/?q=place_id:ChIJd5TY51gUkFQRU_h3DzLnCi4,"Dick's Drive-In. Category: Restaurant. Located at 111 Northeast 45th Street, Seattle. Rated 4.6 stars."
Big Time Brewery & Alehouse,4.3,Bar,"4133 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Big+Time+Brewery+%26+Alehouse+98105,https://www.google.com/maps/place/?q=place_id:ChIJKaC2QvMUkFQRWVvn71SBmuY,"Big Time Brewery & Alehouse. Category: Bar. Located at 4133 University Way Northeast, Seattle. Rated 4.3 stars."
Third Place Books Ravenna,4.7,"Book Store, Store, Bar","6504 20th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Third+Place+Books+Ravenna+98105,https://www.google.com/maps/place/?q=place_id:ChIJ45O8G3oUkFQR1VjDG-4LnlY,"Third Place Books Ravenna. Category: Book Store, Store, Bar. Located at 6504 20th Avenue Northeast, Seattle. Rated 4.7 stars."
Chipotle Mexican Grill,3.4,Restaurant,"4229 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Chipotle+Mexican+Grill+98105,https://www.google.com/maps/place/?q=place_id:ChIJ9yhJrvQUkFQRbsWNMgL3lhE,"Chipotle Mexican Grill. Category: Restaurant. Located at 4229 University Way Northeast, Seattle. Rated 3.4 stars."
Cafe Solstice,4.4,"Cafe, Store","4116 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Cafe+Solstice+98105,https://www.google.com/maps/place/?q=place_id:ChIJaZE6QvMUkFQRXCfaq6_QnBE,"Cafe Solstice. Category: Cafe, Store. Located at 4116 University Way Northeast, Seattle. Rated 4.4 stars."
Mamma Melina Ristorante & Pizzeria,4.4,Bar,"5101 25th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Mamma+Melina+Ristorante+%26+Pizzeria+98105,https://www.google.com/maps/place/?q=place_id:ChIJ_VxjXmAUkFQRrWTepnXcx34,"Mamma Melina Ristorante & Pizzeria. Category: Bar. Located at 5101 25th Avenue Northeast, Seattle. Rated 4.4 stars."
McDonald's,3.6,"Cafe, Store","5146 25th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=McDonald%27s+98105,https://www.google.com/maps/place/?q=place_id:ChIJreTBgIcUkFQRKh_jcEGENNY,"McDonald's. Category: Cafe, Store. Located at 5146 25th Avenue Northeast, Seattle. Rated 3.6 stars."
Thai Tom,4.3,Restaurant,"4543 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Thai+Tom+98105,https://www.google.com/maps/place/?q=place_id:ChIJcZuejIoUkFQRUwz0PNYZIUM,"Thai Tom. Category: Restaurant. Located at 4543 University Way Northeast, Seattle. Rated 4.3 stars."
