name,rating,categories,address,zip_code,embedding_text
LA SABROSA MEXICANA LLC,5.0,Restaurant,"Buckingham Shopping Centers, 4235 N Pershing Dr, Arlington",22201,"LA SABROSA MEXICANA LLC. Category: Restaurant. Known for Restaurant dishes. Located at Buckingham Shopping Centers, 4235 N Pershing Dr, Arlington. Rated 5 stars. A popular spot for people craving Restaurant or similar foods."
A Toda Madre #2,5.0,Restaurant,"1100 Wilson Blvd, Arlington",22201,"A Toda Madre #2. Category: Restaurant. Known for Restaurant dishes. Located at 1100 Wilson Blvd, Arlington. Rated 5 stars. A popular spot for people craving Restaurant or similar foods."
La Michoacana,5.0,Restaurant,"1700 N Moore St, Arlington",22201,"La Michoacana. Category: Restaurant. Known for Restaurant dishes. Located at 1700 N Moore St, Arlington. Rated 5 stars. A popular spot for people craving Restaurant or similar foods."
Tacos Los Primos Arlington Restaurant,4.9,Restaurant,"2710 Washington Blvd, Arlington",22201,"Tacos Los Primos Arlington Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 2710 Washington Blvd, Arlington. Rated 4.9 stars. A popular spot for people craving Restaurant or similar foods."
La Posada Crystal City,4.9,Restaurant,"320 23rd St S #250, Arlington",22201,"La Posada Crystal City. Category: Restaurant. Known for Restaurant dishes. Located at 320 23rd St S #250, Arlington. Rated 4.9 stars. A popular spot for people craving Restaurant or similar foods."
Tacos El Chilango,4.8,Restaurant,"1719-1728 14th St N, Arlington",22201,"Tacos El Chilango. Category: Restaurant. Known for Restaurant dishes. Located at 1719-1728 14th St N, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Taqueria Esmeralda,4.8,Restaurant,"1205 S George Mason Dr, Arlington",22201,"Taqueria Esmeralda. Category: Restaurant. Known for Restaurant dishes. Located at 1205 S George Mason Dr, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Tacos Mi Rancho,4.8,Restaurant,"1301 N Cleveland St, Arlington",22201,"Tacos Mi Rancho. Category: Restaurant. Known for Restaurant dishes. Located at 1301 N Cleveland St, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Tacos El Torito 2,4.8,Restaurant,"223 N Piedmont St, Arlington",22201,"Tacos El Torito 2. Category: Restaurant. Known for Restaurant dishes. Located at 223 N Piedmont St, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Tacos Los Primos Mobile Food Truck,4.7,Restaurant,"1601 N Rhodes St, Arlington",22201,"Tacos Los Primos Mobile Food Truck. Category: Restaurant. Known for Restaurant dishes. Located at 1601 N Rhodes St, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
