name,rating,categories,address,zip_code,embedding_text
Bluefish Bistro,4.9,Restaurant,"950 S George Mason Dr Suite #114, Arlington",22201,"Bluefish Bistro. Category: Restaurant. Known for Restaurant dishes. Located at 950 S George Mason Dr Suite #114, Arlington. Rated 4.9 stars. A popular spot for people craving Restaurant or similar foods."
Five Guys,4.9,Meal Takeaway,"3263 Columbia Pike, Arlington",22201,"Five Guys. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 3263 Columbia Pike, Arlington. Rated 4.9 stars. A popular spot for people craving Meal Takeaway or similar foods."
First Impression,4.8,Restaurant,"2534 Shirlington Rd, Arlington",22201,"First Impression. Category: Restaurant. Known for Restaurant dishes. Located at 2534 Shirlington Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Open Kitchen,4.8,Cafe,"1300 17th St N Suite 110, Arlington",22201,"Open Kitchen. Category: Cafe. Known for Cafe dishes. Located at 1300 17th St N Suite 110, Arlington. Rated 4.8 stars. A popular spot for people craving Cafe or similar foods."
Makers Union,4.7,Restaurant,"1450 S Eads St Suite 65, Arlington",22201,"Makers Union. Category: Restaurant. Known for Restaurant dishes. Located at 1450 S Eads St Suite 65, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
New Yorker Grill,4.7,"Cafe, Store","2450 Crystal Dr, Arlington",22201,"New Yorker Grill. Category: Cafe, Store. Known for Cafe, Store dishes. Located at 2450 Crystal Dr, Arlington. Rated 4.7 stars. A popular spot for people craving Cafe, Store or similar foods."
Pines of Florence,4.7,Restaurant,"2109 N Pollard St, Arlington",22201,"Pines of Florence. Category: Restaurant. Known for Restaurant dishes. Located at 2109 N Pollard St, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Pike Cornerstone,4.7,Bar,"2900 Columbia Pike, Arlington",22201,"Pike Cornerstone. Category: Bar. Known for Bar dishes. Located at 2900 Columbia Pike, Arlington. Rated 4.7 stars. A popular spot for people craving Bar or similar foods."
Maya Bistro,4.7,Restaurant,"5649 Langston Blvd., Arlington",22201,"Maya Bistro. Category: Restaurant. Known for Restaurant dishes. Located at 5649 Langston Blvd., Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Sabores Tapas Bar,4.7,Restaurant,"2401 Columbia Pike, Arlington",22201,"Sabores Tapas Bar. Category: Restaurant. Known for Restaurant dishes. Located at 2401 Columbia Pike, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
