name,rating,categories,address,zip_code,embedding_text
Bluefish Bistro,4.9,Restaurant,"950 S George Mason Dr Suite #114, Arlington",22201,"Bluefish Bistro. Category: Restaurant. Known for Restaurant dishes. Located at 950 S George Mason Dr Suite #114, Arlington. Rated 4.9 stars. A popular spot for people craving Restaurant or similar foods."
Five Guys,4.9,Meal Takeaway,"3263 Columbia Pike, Arlington",22201,"Five Guys. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 3263 Columbia Pike, Arlington. Rated 4.9 stars. A popular spot for people craving Meal Takeaway or similar foods."
JINYA Ramen Bar - Arlington,4.8,Restaurant,"4238 Wilson Blvd Suite 150, Arlington",22201,"JINYA Ramen Bar - Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 4238 Wilson Blvd Suite 150, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Himalayan Wild Yak - Arlington,4.8,Restaurant,"1010 N Glebe Rd, Arlington",22201,"Himalayan Wild Yak - Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 1010 N Glebe Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
"Milanga Place, Arlington, VA",4.8,Meal Takeaway,"6017 Wilson Blvd, Arlington",22201,"Milanga Place, Arlington, VA. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 6017 Wilson Blvd, Arlington. Rated 4.8 stars. A popular spot for people craving Meal Takeaway or similar foods."
First Impression,4.8,Restaurant,"2534 Shirlington Rd, Arlington",22201,"First Impression. Category: Restaurant. Known for Restaurant dishes. Located at 2534 Shirlington Rd, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Open Kitchen,4.8,Cafe,"1300 17th St N Suite 110, Arlington",22201,"Open Kitchen. Category: Cafe. Known for Cafe dishes. Located at 1300 17th St N Suite 110, Arlington. Rated 4.8 stars. A popular spot for people craving Cafe or similar foods."
Aladdin Restaurant,4.8,Restaurant,"5119 Lee Hwy, Arlington",22201,"Aladdin Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 5119 Lee Hwy, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Charga on The Pike,4.8,Restaurant,"3203 Columbia Pike, Arlington",22201,"Charga on The Pike. Category: Restaurant. Known for Restaurant dishes. Located at 3203 Columbia Pike, Arlington. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Sabores Tapas Bar,4.7,Restaurant,"2401 Columbia Pike, Arlington",22201,"Sabores Tapas Bar. Category: Restaurant. Known for Restaurant dishes. Located at 2401 Columbia Pike, Arlington. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
