name,category,rating,address,zip_code,description,doordash_url
JOEY U-Village,Restaurant,4.8,2603 NE 46th St,98105,Restaurant rated 4.8/5 located at 2603 NE 46th St (ZIP 98105).,https://www.doordash.com/store/joey-restaurants-seattle-48597/?srsltid=AfmBOoootBPGu9ueefNFz-6K5VzjZE4GsICHHZno9lczxj34CKcsEZlN
Mamma Melina Ristorante & Pizzeria,Italian,4.4,5101 25th Ave NE,98105,Italian rated 4.4/5 located at 5101 25th Ave NE (ZIP 98105).,https://www.doordash.com/store/mamma-melina-italian-ristorante-seattle-1585887?srsltid=AfmBOop1l3HdQ8DRfsyCNx7EQGpXBJQap0xncSJ-iKvvykddMOn86M7V
U District Eats,Restaurant,4.5,5600 Roosevelt Way NE #109,98105,Restaurant rated 4.5/5 located at 5600 Roosevelt Way NE #109 (ZIP 98105).,https://www.doordash.com/store/u:don-fresh-japanese-noodle-station-976474/?srsltid=AfmBOopLktzAU9LRuPkgXvyL9bSoX0P4_Hw9KYvQSJ6a0-0IMcxOcr3p
Piatti,Italian,4.1,2695 NE Village Ln,98105,Italian rated 4.1/5 located at 2695 NE Village Ln (ZIP 98105).,https://www.doordash.com/business/piatti-9171/menu/?srsltid=AfmBOoo9xiRuXlhZtoBjbKIK47yMFm7YBX3lU-_UQCsQhoSN8AMYTpv7
Eureka!,American,4.2,2614 NE 46th St,98105,American rated 4.2/5 located at 2614 NE 46th St (ZIP 98105).,https://www.doordash.com/business/eureka%21-3590/menu/?srsltid=AfmBOop0y8ang_f0_tn9nkXqHlhG1hq-Hp-kU6FRp9wyHVsvPReehUtL
Cedars in University District,Indian,4.4,4759 Brooklyn Ave NE,98105,Indian rated 4.4/5 located at 4759 Brooklyn Ave NE (ZIP 98105).,https://www.doordash.com/store/cedars-restaurant-university-district-seattle-2507890/?srsltid=AfmBOor4dtiypyLWSDKMcnbABiDf2mqPogTSahE4QY4QLLv1aUlNdt65
Din Tai Fung,Chinese,4.6,2621 NE 46th St,98105,Chinese rated 4.6/5 located at 2621 NE 46th St (ZIP 98105).,https://www.doordash.com/store/din-tai-fung-new-york-32782281/?srsltid=AfmBOoq1H2emqfTrpT17niSu7l2g7tmBmG_F7sZHdKOwTsBbAP4Psp4r
Aladdin CharBurger,Restaurant,4.6,4135 University Wy NE,98105,Restaurant rated 4.6/5 located at 4135 University Wy NE (ZIP 98105).,https://www.doordash.com/store/aladdin-char-burger-seattle-22926436/?srsltid=AfmBOoreLN70K1hBKBpKM-PKnZLSObP2RIdiU7opqYjBiGI1f6MNTDG9
Ba Bar University Village,Vietnamese,4.3,2685 NE 46th St #2503,98105,Vietnamese rated 4.3/5 located at 2685 NE 46th St #2503 (ZIP 98105).,https://www.doordash.com/food-delivery/chicago-il-restaurants/moroccan/?srsltid=AfmBOopX-h5ll9GjEYGvA3oM_ycNWjKzlj12Mjtoaz-t_TzdKkpnK2Li
Sizzle&Crunch Vietnamese Grill,Vietnamese,4.6,1313 NE 42nd St,98105,Vietnamese rated 4.6/5 located at 1313 NE 42nd St (ZIP 98105).,https://www.doordash.com/store/sizzle-&-crunch-619648/?srsltid=AfmBOoq7eBMJlFNFDAcsQ6p-YqtGNvxPmUnQwoRQlslLKSNzOlOT2CSs
Agua Verde Cafe,Restaurant,4.3,1303 NE Boat St,98105,Restaurant rated 4.3/5 located at 1303 NE Boat St (ZIP 98105).,https://www.doordash.com/store/agua-verde-cafe-seattle-41229/?srsltid=AfmBOoo1Cfo9yfVy29q-ZsWdfOvNX87s05XJj5qsivvmUyg9tlB_Xd3-
Halal Smash BRGR - U District,Hamburger,4.7,5600 Roosevelt Way NE,98105,Hamburger rated 4.7/5 located at 5600 Roosevelt Way NE (ZIP 98105).,https://www.doordash.com/store/halal-smash-brgr--u-district-30938497/?srsltid=AfmBOopazuaiMuUEscypwqrSYVU4GYTrms5pQu-cZ5KretrV85dqH8Kt
Pauly's at Earl's,Bar,4.4,4333 University Wy NE,98105,Bar rated 4.4/5 located at 4333 University Wy NE (ZIP 98105).,https://www.doordash.com/store/pauly's-at-earl's-seattle-22994606/?srsltid=AfmBOor8HUc38IGz7Kf1Dw71HkFDkKSJAFJ4vzpk3392uBpLK0qgm4z-
Birrieria Pepe El Toro,Mexican,4.8,5628 University Wy NE,98105,Mexican rated 4.8/5 located at 5628 University Wy NE (ZIP 98105).,https://www.doordash.com/en/store/birrieria-pepe-el-toro-24250408/?srsltid=AfmBOoqHwUqxJkLfr8BBfpdGM-oyISuFp65ghBu1o2nzpDwvHIlVilVs
Chuan House,Chinese,4.4,4509 University Wy NE,98105,Chinese rated 4.4/5 located at 4509 University Wy NE (ZIP 98105).,https://www.doordash.com/store/chuan-house-seattle-27528666/?srsltid=AfmBOoq8h6NCLeQa3uoLI89qcCzEoW6Da3j7LO65DVzW19KsoDOK_pYa
Cafe on the Ave,Restaurant,4.1,4201 University Wy NE,98105,Restaurant rated 4.1/5 located at 4201 University Wy NE (ZIP 98105).,https://www.doordash.com/store/cafe-on-the-ave-seattle-36794/?srsltid=AfmBOorE6wkVS1ulwE9EcGb5QM27XOYWzf18JXEMLSN2AFzmfjtO-vjM
Samir's Mediterranean Grill,Mediterranean,4.4,1316 NE 43rd St,98105,Mediterranean rated 4.4/5 located at 1316 NE 43rd St (ZIP 98105).,https://www.doordash.com/store/samir's-mediterranean-grill-seattle-33305403/?srsltid=AfmBOoo9g7Jt0DSJxF7mmH7WwmALxfhWcTyrKWLrhS7y5NBXcfV6ohNN
Itadakimasu,Asian Fusion,4.3,4743 Brooklyn Ave NE,98105,Asian Fusion rated 4.3/5 located at 4743 Brooklyn Ave NE (ZIP 98105).,https://www.doordash.com/store/itadakimasu-seattle-36821/?srsltid=AfmBOooblq0GXbB0aQ3VkvMZ26UOu1f6THdUmYV-Nw2YXDLmQAc32Gmo
Angkor Wok,Asian,4.5,1100 NE 45th St Suite 110,98105,Asian rated 4.5/5 located at 1100 NE 45th St Suite 110 (ZIP 98105).,https://www.doordash.com/store/angkor-wok-23548267/?srsltid=AfmBOor4Inp_QFzhPvwzYunQkY2NB56Mj-tZqIiUz_dKscOmBHZznjiX
Hokkaido Ramen Santouka University Village,Ramen,4.4,2626 NE University Village St,98105,Ramen rated 4.4/5 located at 2626 NE University Village St (ZIP 98105).,https://www.doordash.com/store/hokkaido-ramen-santouka-seattle-468351/?srsltid=AfmBOorU5YAnQjdmmZskQ0MujbZc_8RWyM20eddwx4I20p1y5O7zM5sQ
Costas Restaurant,Greek,4.1,4559 University Wy NE,98105,Greek rated 4.1/5 located at 4559 University Wy NE (ZIP 98105).,https://www.doordash.com/store/ivars-salmon-house-seattle-41227/?srsltid=AfmBOopeiRTajIWtvnztxh3EPp0R9PnKhJ82duac949KepBVGNsi_DDx
Ivar's Salmon House,Seafood,4.3,401 NE Northlake Way,98105,Seafood rated 4.3/5 located at 401 NE Northlake Way (ZIP 98105).,https://www.doordash.com/store/tony-burritos-california-style-inc-24633737/?srsltid=AfmBOopPXL-iTAB1riz3WicXJXDpkmE7GwCIAAUXLVp59W-IGEIdqs8t
Voula's Offshore Cafe,Restaurant,4.6,658 NE Northlake Way,98105,Restaurant rated 4.6/5 located at 658 NE Northlake Way (ZIP 98105).,https://www.doordash.com/store/aladdin-gyro-cery-&-deli-911670/?srsltid=AfmBOorO9AgRcCmYzhH5R5DfcVRvKwvoobbTKizfxg5nrAKTy_E4fnNW
Burritos California,Mexican,4.4,4743 University Wy NE,98105,Mexican rated 4.4/5 located at 4743 University Wy NE (ZIP 98105).,https://www.doordash.com/near-me/category/thai-tom?srsltid=AfmBOooboSg4jh7SYPiWgejsNBsJGDkfreoFlEtLq2oWyxWy_6DcKlxK
Amazing Thai Cuisine,Thai,4.7,5210 Roosevelt Way NE,98105,Thai rated 4.7/5 located at 5210 Roosevelt Way NE (ZIP 98105).,https://www.doordash.com/store/pink-door-cookies-nashville-1728002/?srsltid=AfmBOorovUpzRnLF01-3pFLHlh5Dqlhsulk_Gu2qgL5bh7x2L7K34x3_
Aladdin Gyro-Cery & Deli,Mediterranean,4.5,4139 University Wy NE,98105,Mediterranean rated 4.5/5 located at 4139 University Wy NE (ZIP 98105).,https://www.doordash.com/store/portage-bay-cafe-seattle-35688231/?srsltid=AfmBOoq6VZOoWvY1zajQRO8mYBEA4H4Nj6QGVFRWk6bn3FRnEqBENGZp
Thai Tom,Thai,4.3,4543 University Wy NE,98105,Thai rated 4.3/5 located at 4543 University Wy NE (ZIP 98105).,https://www.doordash.com/store/xian-famous-foods-%E8%A5%BF%E5%AE%89%E5%90%8D%E5%90%83-woodside-1305680/?srsltid=AfmBOoo8OyWqU2noQx1by79i3bx1qBk2H3iwroh7IZtsyMCAau-FZ_78
The Pink Door,Italian,4.6,1919 Post Alley,98105,Italian rated 4.6/5 located at 1919 Post Alley (ZIP 98105).,https://www.doordash.com/store/maharaja-cuisine-of-india-seattle-36463/?srsltid=AfmBOooG7Ai3t3xFZyPlUaurlFgujEGMhk0EHDV9XZJeM1-0zMuU_TKM
Portage Bay Cafe,Brunch,4.3,4130 Roosevelt Way NE,98105,Brunch rated 4.3/5 located at 4130 Roosevelt Way NE (ZIP 98105).,https://www.doordash.com/store/mr.-lu's-seattle-43071/?srsltid=AfmBOorRn8vDaMPO61uq9duNr-CHhi_o2nWFoN5nJ-0SaQVKtJV3-YcB
Xi'an Noodles,Chinese,4.4,5259 University Wy NE,98105,Chinese rated 4.4/5 located at 5259 University Wy NE (ZIP 98105).,https://www.doordash.com/store/time-bistro-seattle-1709550/?srsltid=AfmBOoq4rV2y749Oy5X3a6Dk13qZBm3_aoYAq_Tle3IErHWxXfgr_azm
